word,n_morphemes,class,note
napkin,1,monomorph,simplex alt set
nebula,1,monomorph,simplex alt set
neon,1,monomorph,simplex alt set
nest,1,monomorph,simplex alt set
nickel,1,monomorph,simplex alt set
ninja,1,monomorph,simplex alt set
nitrogen,1,monomorph,simplex alt set
noodle,1,monomorph,simplex alt set
noon,1,monomorph,simplex alt set
nun,1,monomorph,simplex alt set
oar,1,monomorph,simplex alt set
oboe,1,monomorph,simplex alt set
octopus,1,monomorph,simplex alt set
oil,1,monomorph,simplex alt set
olive,1,monomorph,simplex alt set
onion,1,monomorph,simplex alt set
opera,1,monomorph,simplex alt set
orphan,1,monomorph,simplex alt set
otter,1,monomorph,simplex alt set
ox,1,monomorph,simplex alt set
oxygen,1,monomorph,simplex alt set
oyster,1,monomorph,simplex alt set
ozone,1,monomorph,simplex alt set
pack,1,monomorph,simplex alt set
paddle,1,monomorph,simplex alt set
palm,1,monomorph,simplex alt set
panda,1,monomorph,simplex alt set
panic,1,monomorph,simplex alt set
parcel,1,monomorph,simplex alt set
parish,1,monomorph,simplex alt set
parrot,1,monomorph,simplex alt set
partner,1,monomorph,simplex alt set
pasta,1,monomorph,simplex alt set
patience,1,monomorph,simplex alt set
patio,1,monomorph,simplex alt set
pea,1,monomorph,simplex alt set
pear,1,monomorph,simplex alt set
peasant,1,monomorph,simplex alt set
peat,1,monomorph,simplex alt set
pebble,1,monomorph,simplex alt set
peel,1,monomorph,simplex alt set
pelican,1,monomorph,simplex alt set
pencil,1,monomorph,simplex alt set
penguin,1,monomorph,simplex alt set
penicillin,1,monomorph,simplex alt set
perch,1,monomorph,simplex alt set
pie,1,monomorph,simplex alt set
pier,1,monomorph,simplex alt set
pigeon,1,monomorph,simplex alt set
pillow,1,monomorph,simplex alt set
pipe,1,monomorph,simplex alt set
pirate,1,monomorph,simplex alt set
pit,1,monomorph,simplex alt set
pitcher,1,monomorph,simplex alt set
pith,1,monomorph,simplex alt set
pity,1,monomorph,simplex alt set
pizza,1,monomorph,simplex alt set
planet,1,monomorph,simplex alt set
plasma,1,monomorph,simplex alt set
plateau,1,monomorph,simplex alt set
platelet,1,monomorph,simplex alt set
pliers,1,monomorph,simplex alt set
plug,1,monomorph,simplex alt set
plum,1,monomorph,simplex alt set
plumber,1,monomorph,simplex alt set
pony,1,monomorph,simplex alt set
pope,1,monomorph,simplex alt set
poppycock,1,monomorph,borrowed/simplex alt set
porch,1,monomorph,simplex alt set
porcupine,1,monomorph,simplex alt set
port,1,monomorph,simplex alt set
potassium,1,monomorph,simplex alt set
potpourri,1,monomorph,borrowed/simplex alt set
prairie,1,monomorph,simplex alt set
propane,1,monomorph,simplex alt set
pudding,1,monomorph,simplex alt set
pumpkin,1,monomorph,simplex alt set
puppy,1,monomorph,simplex alt set
purse,1,monomorph,simplex alt set
quark,1,monomorph,simplex alt set
quarry,1,monomorph,simplex alt set
quartz,1,monomorph,simplex alt set
quilt,1,monomorph,simplex alt set
quota,1,monomorph,simplex alt set
rabbit,1,monomorph,simplex alt set
raccoon,1,monomorph,simplex alt set
raft,1,monomorph,simplex alt set
raisin,1,monomorph,simplex alt set
rake,1,monomorph,simplex alt set
ranger,1,monomorph,simplex alt set
realm,1,monomorph,simplex alt set
receipt,1,monomorph,simplex alt set
reef,1,monomorph,simplex alt set
retina,1,monomorph,simplex alt set
rhino,1,monomorph,simplex alt set
ribbon,1,monomorph,simplex alt set
rind,1,monomorph,simplex alt set
rival,1,monomorph,simplex alt set
roar,1,monomorph,simplex alt set
robin,1,monomorph,simplex alt set
robot,1,monomorph,simplex alt set
roost,1,monomorph,simplex alt set
rope,1,monomorph,simplex alt set
rudder,1,monomorph,simplex alt set
rug,1,monomorph,simplex alt set
rumble,1,monomorph,simplex alt set
sage,1,monomorph,simplex alt set
sail,1,monomorph,simplex alt set
salad,1,monomorph,simplex alt set
samurai,1,monomorph,simplex alt set
satellite,1,monomorph,simplex alt set
satin,1,monomorph,simplex alt set
satire,1,monomorph,simplex alt set
savanna,1,monomorph,simplex alt set
saw,1,monomorph,simplex alt set
scalp,1,monomorph,simplex alt set
scepter,1,monomorph,simplex alt set
scout,1,monomorph,simplex alt set
screw,1,monomorph,simplex alt set
scythe,1,monomorph,simplex alt set
seam,1,monomorph,simplex alt set
serum,1,monomorph,simplex alt set
shampoo,1,monomorph,simplex alt set
shed,1,monomorph,simplex alt set
sheet,1,monomorph,simplex alt set
shelf,1,monomorph,simplex alt set
shell,1,monomorph,simplex alt set
sheriff,1,monomorph,simplex alt set
shin,1,monomorph,simplex alt set
shock,1,monomorph,simplex alt set
shovel,1,monomorph,simplex alt set
shrimp,1,monomorph,simplex alt set
sickle,1,monomorph,simplex alt set
silicon,1,monomorph,simplex alt set
silt,1,monomorph,simplex alt set
sin,1,monomorph,simplex alt set
skillet,1,monomorph,simplex alt set
skunk,1,monomorph,simplex alt set
slate,1,monomorph,simplex alt set
sleet,1,monomorph,simplex alt set
slug,1,monomorph,simplex alt set
slumgullion,1,monomorph,borrowed/simplex alt set
smorgasbord,1,monomorph,borrowed/simplex alt set
snail,1,monomorph,simplex alt set
soap,1,monomorph,simplex alt set
socket,1,monomorph,simplex alt set
sodium,1,monomorph,simplex alt set
sofa,1,monomorph,simplex alt set
sorcerer,1,monomorph,simplex alt set
sorrow,1,monomorph,simplex alt set
soup,1,monomorph,simplex alt set
spaghetti,1,monomorph,simplex alt set
spark,1,monomorph,simplex alt set
sparrow,1,monomorph,simplex alt set
spatula,1,monomorph,simplex alt set
spear,1,monomorph,simplex alt set
spice,1,monomorph,simplex alt set
spinach,1,monomorph,simplex alt set
spinster,1,monomorph,simplex alt set
sponge,1,monomorph,simplex alt set
spy,1,monomorph,simplex alt set
squash,1,monomorph,simplex alt set
squid,1,monomorph,simplex alt set
squirrel,1,monomorph,simplex alt set
stallion,1,monomorph,simplex alt set
stamp,1,monomorph,simplex alt set
stew,1,monomorph,simplex alt set
stitch,1,monomorph,simplex alt set
stool,1,monomorph,simplex alt set
stork,1,monomorph,simplex alt set
surprise,1,monomorph,simplex alt set
sushi,1,monomorph,simplex alt set
swamp,1,monomorph,simplex alt set
swan,1,monomorph,simplex alt set
swarm,1,monomorph,simplex alt set
switch,1,monomorph,simplex alt set
syrup,1,monomorph,simplex alt set
taco,1,monomorph,simplex alt set
tailor,1,monomorph,simplex alt set
tambourine,1,monomorph,simplex alt set
tariff,1,monomorph,simplex alt set
tart,1,monomorph,simplex alt set
tavern,1,monomorph,simplex alt set
tent,1,monomorph,simplex alt set
terror,1,monomorph,simplex alt set
thief,1,monomorph,simplex alt set
throne,1,monomorph,simplex alt set
thud,1,monomorph,simplex alt set
thumb,1,monomorph,simplex alt set
tin,1,monomorph,simplex alt set
toddler,1,monomorph,simplex alt set
token,1,monomorph,simplex alt set
tongs,1,monomorph,simplex alt set
towel,1,monomorph,simplex alt set
tragedy,1,monomorph,simplex alt set
tray,1,monomorph,simplex alt set
tribe,1,monomorph,simplex alt set
trombone,1,monomorph,simplex alt set
troop,1,monomorph,simplex alt set
trust,1,monomorph,simplex alt set
tuba,1,monomorph,simplex alt set
tundra,1,monomorph,simplex alt set
tungsten,1,monomorph,simplex alt set
ukulele,1,monomorph,simplex alt set
valve,1,monomorph,simplex alt set
vampire,1,monomorph,simplex alt set
velvet,1,monomorph,simplex alt set
veteran,1,monomorph,simplex alt set
vice,1,monomorph,simplex alt set
viking,1,monomorph,simplex alt set
villa,1,monomorph,simplex alt set
vinegar,1,monomorph,simplex alt set
virtue,1,monomorph,simplex alt set
visa,1,monomorph,simplex alt set
visor,1,monomorph,simplex alt set
voucher,1,monomorph,simplex alt set
vulture,1,monomorph,simplex alt set
wallet,1,monomorph,simplex alt set
walnut,1,monomorph,simplex alt set
warden,1,monomorph,simplex alt set
wasp,1,monomorph,simplex alt set
weasel,1,monomorph,simplex alt set
whisk,1,monomorph,simplex alt set
whisker,1,monomorph,simplex alt set
widow,1,monomorph,simplex alt set
wire,1,monomorph,simplex alt set
wisdom,1,monomorph,simplex alt set
wit,1,monomorph,simplex alt set
witch,1,monomorph,simplex alt set
wizard,1,monomorph,simplex alt set
wok,1,monomorph,simplex alt set
wonder,1,monomorph,simplex alt set
worm,1,monomorph,simplex alt set
wren,1,monomorph,simplex alt set
wrench,1,monomorph,simplex alt set
wrinkle,1,monomorph,simplex alt set
wrist,1,monomorph,simplex alt set
xenon,1,monomorph,simplex alt set
yacht,1,monomorph,simplex alt set
yarn,1,monomorph,simplex alt set
yeast,1,monomorph,simplex alt set
yogurt,1,monomorph,simplex alt set
yolk,1,monomorph,simplex alt set
zinc,1,monomorph,simplex alt set
zombie,1,monomorph,simplex alt set
airhead,2,opaque_multi,lexicalized compound alt set
arrowhead,2,opaque_multi,lexicalized or opaque compound
backlog,2,opaque_multi,lexicalized or opaque compound
beachhead,2,opaque_multi,lexicalized or opaque compound
blackberry,2,opaque_multi,lexicalized compound alt set
blackmail,2,opaque_multi,lexicalized compound alt set
blockhead,2,opaque_multi,lexicalized compound alt set
blueprint,2,opaque_multi,lexicalized compound alt set
boardwalk,2,opaque_multi,lexicalized compound alt set
bonehead,2,opaque_multi,lexicalized or opaque compound
bonfire,2,opaque_multi,lexicalized or opaque compound
bridgehead,2,opaque_multi,lexicalized or opaque compound
broadcast,2,opaque_multi,lexicalized compound alt set
bulkhead,2,opaque_multi,lexicalized or opaque compound
cheapskate,2,opaque_multi,lexicalized or opaque compound
checkmate,2,opaque_multi,lexicalized compound alt set
cobweb,2,opaque_multi,lexicalized compound alt set
corkscrew,2,opaque_multi,lexicalized compound alt set
cranberry,2,opaque_multi,lexicalized compound alt set
deadlock,2,opaque_multi,lexicalized compound alt set
deadpan,2,opaque_multi,lexicalized or opaque compound
driveway,2,opaque_multi,lexicalized compound alt set
dumbbell,2,opaque_multi,lexicalized compound alt set
dunderhead,2,opaque_multi,lexicalized or opaque compound
earmark,2,opaque_multi,lexicalized compound alt set
eavesdrop,2,opaque_multi,lexicalized compound alt set
egghead,2,opaque_multi,lexicalized compound alt set
eyewash,2,opaque_multi,lexicalized or opaque compound
fathead,2,opaque_multi,lexicalized or opaque compound
feedback,2,opaque_multi,lexicalized compound alt set
figurehead,2,opaque_multi,lexicalized or opaque compound
fireworks,2,opaque_multi,lexicalized compound alt set
flimflam,2,opaque_multi,lexicalized or opaque compound
fountainhead,2,opaque_multi,lexicalized or opaque compound
gasbag,2,opaque_multi,lexicalized or opaque compound
gingerbread,2,opaque_multi,lexicalized compound alt set
godhead,2,opaque_multi,lexicalized or opaque compound
gooseberry,2,opaque_multi,lexicalized compound alt set
greenhorn,2,opaque_multi,lexicalized or opaque compound
gridlock,2,opaque_multi,lexicalized compound alt set
hamburger,2,opaque_multi,lexicalized compound alt set
hammerhead,2,opaque_multi,lexicalized or opaque compound
haywire,2,opaque_multi,lexicalized or opaque compound
heatstroke,2,opaque_multi,lexicalized compound alt set
highbrow,2,opaque_multi,lexicalized or opaque compound
hodgepodge,2,opaque_multi,lexicalized or opaque compound
hogwash,2,opaque_multi,lexicalized compound alt set
horseradish,2,opaque_multi,lexicalized compound alt set
hothead,2,opaque_multi,lexicalized or opaque compound
income,2,opaque_multi,lexicalized compound alt set
input,2,opaque_multi,lexicalized compound alt set
jackpot,2,opaque_multi,lexicalized compound alt set
kickback,2,opaque_multi,lexicalized or opaque compound
killjoy,2,opaque_multi,lexicalized or opaque compound
knickknack,2,opaque_multi,lexicalized or opaque compound
knucklehead,2,opaque_multi,lexicalized or opaque compound
lazybones,2,opaque_multi,lexicalized or opaque compound
loggerhead,2,opaque_multi,lexicalized or opaque compound
logjam,2,opaque_multi,lexicalized or opaque compound
lowbrow,2,opaque_multi,lexicalized or opaque compound
mainframe,2,opaque_multi,lexicalized compound alt set
mainstay,2,opaque_multi,lexicalized compound alt set
masthead,2,opaque_multi,lexicalized or opaque compound
meathead,2,opaque_multi,lexicalized or opaque compound
middlebrow,2,opaque_multi,lexicalized or opaque compound
mishmash,2,opaque_multi,lexicalized or opaque compound
moonshine,2,opaque_multi,lexicalized compound alt set
mulberry,2,opaque_multi,lexicalized compound alt set
nickname,2,opaque_multi,lexicalized compound alt set
outcome,2,opaque_multi,lexicalized compound alt set
output,2,opaque_multi,lexicalized compound alt set
overlord,2,opaque_multi,lexicalized compound alt set
parkway,2,opaque_multi,lexicalized compound alt set
pastime,2,opaque_multi,lexicalized compound alt set
peacock,2,opaque_multi,etymological compound; opaque
penthouse,2,opaque_multi,lexicalized compound alt set
podcast,2,opaque_multi,lexicalized compound alt set
quicksilver,2,opaque_multi,lexicalized compound alt set
raspberry,2,opaque_multi,lexicalized compound alt set
redcoat,2,opaque_multi,lexicalized compound alt set
riffraff,2,opaque_multi,lexicalized or opaque compound
sawbones,2,opaque_multi,lexicalized or opaque compound
scapegoat,2,opaque_multi,lexicalized compound alt set
scatterbrain,2,opaque_multi,lexicalized or opaque compound
shortbread,2,opaque_multi,lexicalized compound alt set
sidekick,2,opaque_multi,lexicalized or opaque compound
sidewalk,2,opaque_multi,lexicalized compound alt set
skinflint,2,opaque_multi,lexicalized or opaque compound
skinhead,2,opaque_multi,lexicalized compound alt set
skyscraper,2,opaque_multi,lexicalized compound alt set
slapdash,2,opaque_multi,lexicalized or opaque compound
sleepyhead,2,opaque_multi,lexicalized or opaque compound
sorehead,2,opaque_multi,lexicalized or opaque compound
sourpuss,2,opaque_multi,lexicalized or opaque compound
spearhead,2,opaque_multi,lexicalized or opaque compound
spoilsport,2,opaque_multi,lexicalized or opaque compound
stalemate,2,opaque_multi,lexicalized compound alt set
sunstroke,2,opaque_multi,lexicalized compound alt set
sweetbread,2,opaque_multi,lexicalized compound alt set
sweetmeat,2,opaque_multi,lexicalized or opaque compound
tenderfoot,2,opaque_multi,lexicalized or opaque compound
tenderloin,2,opaque_multi,lexicalized or opaque compound
tightwad,2,opaque_multi,lexicalized or opaque compound
townhouse,2,opaque_multi,lexicalized compound alt set
twilight,2,opaque_multi,twi+light; prefix not productive
underdog,2,opaque_multi,lexicalized compound alt set
wardrobe,2,opaque_multi,lexicalized compound alt set
warhead,2,opaque_multi,lexicalized or opaque compound
webcast,2,opaque_multi,lexicalized compound alt set
werewolf,2,opaque_multi,were+wolf; were is opaque
whalebone,2,opaque_multi,whale+bone; lexicalized (baleen)
whitewash,2,opaque_multi,lexicalized compound alt set
wildcard,2,opaque_multi,lexicalized compound alt set
wildfire,2,opaque_multi,lexicalized compound alt set
windbag,2,opaque_multi,lexicalized or opaque compound
wiseacre,2,opaque_multi,lexicalized or opaque compound
airplane,2,transparent_multi,derived or compound alt set
amazement,2,transparent_multi,derived or compound alt set
ambition,2,transparent_multi,derived or compound alt set
amusement,2,transparent_multi,derived or compound alt set
antelope,2,transparent_multi,derived or compound alt set
anthology,2,transparent_multi,derived or compound alt set
anthropologist,3,transparent_multi,neoclassical
apartment,2,transparent_multi,derived or compound alt set
archaeologist,3,transparent_multi,neoclassical
archer,2,transparent_multi,derived or compound alt set
armadillo,2,transparent_multi,derived or compound alt set
attachment,2,transparent_multi,derived or compound alt set
awareness,2,transparent_multi,derived or compound alt set
backpack,2,transparent_multi,derived or compound alt set
baseball,2,transparent_multi,derived or compound alt set
basement,2,transparent_multi,derived or compound alt set
basketball,2,transparent_multi,derived or compound alt set
batter,2,transparent_multi,derived or compound alt set
bedspread,2,transparent_multi,derived or compound alt set
beginner,2,transparent_multi,derived or compound alt set
believer,2,transparent_multi,derived or compound alt set
benchmark,2,transparent_multi,derived or compound alt set
binder,2,transparent_multi,verb+er
biodegradable,3,transparent_multi,neoclassical
biologist,2,transparent_multi,derived or compound alt set
birdcage,2,transparent_multi,derived or compound alt set
bitterness,2,transparent_multi,derived or compound alt set
blender,2,transparent_multi,verb+er
bluejay,2,transparent_multi,derived or compound alt set
boldness,2,transparent_multi,derived or compound alt set
bookmark,2,transparent_multi,derived or compound alt set
bowler,2,transparent_multi,derived or compound alt set
boxer,2,transparent_multi,derived or compound alt set
briefcase,2,transparent_multi,derived or compound alt set
bullfrog,2,transparent_multi,derived or compound alt set
bumblebee,2,transparent_multi,derived or compound alt set
calmness,2,transparent_multi,derived or compound alt set
campfire,2,transparent_multi,derived or compound alt set
campground,2,transparent_multi,derived or compound alt set
campsite,2,transparent_multi,derived or compound alt set
cardiologist,2,transparent_multi,derived or compound alt set
cardiopulmonary,3,transparent_multi,neoclassical
carelessness,2,transparent_multi,derived or compound alt set
caribou,2,transparent_multi,derived or compound alt set
cartographer,3,transparent_multi,neoclassical
catcher,2,transparent_multi,derived or compound alt set
catnip,2,transparent_multi,derived or compound alt set
celebration,2,transparent_multi,derived or compound alt set
centimeter,2,transparent_multi,derived or compound alt set
chalkboard,2,transparent_multi,derived or compound alt set
charcoal,2,transparent_multi,char+coal
cheerfulness,3,transparent_multi,derived
cheeseburger,2,transparent_multi,derived or compound alt set
chemist,2,transparent_multi,derived or compound alt set
chemotherapy,2,transparent_multi,derived or compound alt set
chronology,2,transparent_multi,derived or compound alt set
climber,2,transparent_multi,derived or compound alt set
clipboard,2,transparent_multi,derived or compound alt set
closeness,2,transparent_multi,derived or compound alt set
collision,2,transparent_multi,derived or compound alt set
combination,2,transparent_multi,derived or compound alt set
commitment,2,transparent_multi,derived or compound alt set
conclusion,2,transparent_multi,derived or compound alt set
